name,developer,publisher,popular_tags,game_details,genre,ID,genre_publisher_developer,genre_popular_tags_developer,genre_popular_tags_game_details,genre_publisher_developer_game_details
DayZ,Bohemia Interactive,"Bohemia Interactive,Bohemia Interactive","Survival,Zombies,Open World,Multiplayer,PvP,Massively Multiplayer,Action,Early Access,Simulation,FPS,Post-apocalyptic,Survival Horror,Shooter,Sandbox,Adventure,Indie,Co-op,Atmospheric,Horror,Military","Multi-player,Online Multi-Player,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled","Action,Adventure,Massively Multiplayer",dayz,"Action,Adventure,Massively MultiplayerBohemia Interactive,Bohemia InteractiveBohemia Interactive","Action,Adventure,Massively MultiplayerSurvival,Zombies,Open World,Multiplayer,PvP,Massively Multiplayer,Action,Early Access,Simulation,FPS,Post-apocalyptic,Survival Horror,Shooter,Sandbox,Adventure,Indie,Co-op,Atmospheric,Horror,MilitaryBohemia Interactive","Action,Adventure,Massively MultiplayerSurvival,Zombies,Open World,Multiplayer,PvP,Massively Multiplayer,Action,Early Access,Simulation,FPS,Post-apocalyptic,Survival Horror,Shooter,Sandbox,Adventure,Indie,Co-op,Atmospheric,Horror,MilitaryMulti-player,Online Multi-Player,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled","Action,Adventure,Massively MultiplayerBohemia Interactive,Bohemia InteractiveBohemia InteractiveMulti-player,Online Multi-Player,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled"
EVE Online,CCP,"CCP,CCP","Space,Massively Multiplayer,Sci-fi,Sandbox,MMORPG,Open World,RPG,PvP,Multiplayer,Free to Play,Economy,Strategy,Space Sim,Simulation,Action,Difficult,Tactical,Capitalism,PvE,Atmospheric","Multi-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Trading Cards","Action,Free to Play,Massively Multiplayer,RPG,Strategy",eveonline,"Action,Free to Play,Massively Multiplayer,RPG,StrategyCCP,CCPCCP","Action,Free to Play,Massively Multiplayer,RPG,StrategySpace,Massively Multiplayer,Sci-fi,Sandbox,MMORPG,Open World,RPG,PvP,Multiplayer,Free to Play,Economy,Strategy,Space Sim,Simulation,Action,Difficult,Tactical,Capitalism,PvE,AtmosphericCCP","Action,Free to Play,Massively Multiplayer,RPG,StrategySpace,Massively Multiplayer,Sci-fi,Sandbox,MMORPG,Open World,RPG,PvP,Multiplayer,Free to Play,Economy,Strategy,Space Sim,Simulation,Action,Difficult,Tactical,Capitalism,PvE,AtmosphericMulti-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Trading Cards","Action,Free to Play,Massively Multiplayer,RPG,StrategyCCP,CCPCCPMulti-player,Online Multi-Player,MMO,Co-op,Online Co-op,Steam Trading Cards"
TERA,"Bluehole, Inc.","En Masse Entertainment,En Masse Entertainment","Free to Play,MMORPG,Massively Multiplayer,RPG,Open World,Action,Fantasy,Adventure,Anime,Third Person,Character Customization,Action RPG,Multiplayer,Co-op,PvP,Hack and Slash,PvE,Cute,Controller,Nudity","Multi-player,MMO,Co-op,Steam Trading Cards,Partial Controller Support","Action,Adventure,Free to Play,Massively Multiplayer,RPG",tera,"Action,Adventure,Free to Play,Massively Multiplayer,RPGEn Masse Entertainment,En Masse EntertainmentBluehole, Inc.","Action,Adventure,Free to Play,Massively Multiplayer,RPGFree to Play,MMORPG,Massively Multiplayer,RPG,Open World,Action,Fantasy,Adventure,Anime,Third Person,Character Customization,Action RPG,Multiplayer,Co-op,PvP,Hack and Slash,PvE,Cute,Controller,NudityBluehole, Inc.","Action,Adventure,Free to Play,Massively Multiplayer,RPGFree to Play,MMORPG,Massively Multiplayer,RPG,Open World,Action,Fantasy,Adventure,Anime,Third Person,Character Customization,Action RPG,Multiplayer,Co-op,PvP,Hack and Slash,PvE,Cute,Controller,NudityMulti-player,MMO,Co-op,Steam Trading Cards,Partial Controller Support","Action,Adventure,Free to Play,Massively Multiplayer,RPGEn Masse Entertainment,En Masse EntertainmentBluehole, Inc.Multi-player,MMO,Co-op,Steam Trading Cards,Partial Controller Support"
Stonehearth,Radiant Entertainment,"(none),(none)","City Builder,Building,Sandbox,Strategy,Survival,Simulation,Crafting,Voxel,Early Access,Indie,Singleplayer,Open World,RPG,Management,Multiplayer,Fantasy,Cute,Adventure,God Game,RTS","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Steam Trading Cards,Steam Workshop","Indie,Simulation,Strategy",stonehearth,"Indie,Simulation,Strategy(none),(none)Radiant Entertainment","Indie,Simulation,StrategyCity Builder,Building,Sandbox,Strategy,Survival,Simulation,Crafting,Voxel,Early Access,Indie,Singleplayer,Open World,RPG,Management,Multiplayer,Fantasy,Cute,Adventure,God Game,RTSRadiant Entertainment","Indie,Simulation,StrategyCity Builder,Building,Sandbox,Strategy,Survival,Simulation,Crafting,Voxel,Early Access,Indie,Singleplayer,Open World,RPG,Management,Multiplayer,Fantasy,Cute,Adventure,God Game,RTSSingle-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Steam Trading Cards,Steam Workshop","Indie,Simulation,Strategy(none),(none)Radiant EntertainmentSingle-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Steam Trading Cards,Steam Workshop"
Call of Duty®: Black Ops,Treyarch,"Activision,Activision","Action,FPS,Zombies,Multiplayer,Shooter,Singleplayer,Cold War,First-Person,War,Military,Online Co-Op,Co-op,Gore,Story Rich,Adventure,Controller,Linear,Masterpiece,Horror,Massively Multiplayer","Single-player,Multi-player,Co-op,Steam Achievements,Partial Controller Support,Valve Anti-Cheat enabled",Action,callofdutyblackops,"ActionActivision,ActivisionTreyarch","ActionAction,FPS,Zombies,Multiplayer,Shooter,Singleplayer,Cold War,First-Person,War,Military,Online Co-Op,Co-op,Gore,Story Rich,Adventure,Controller,Linear,Masterpiece,Horror,Massively MultiplayerTreyarch","ActionAction,FPS,Zombies,Multiplayer,Shooter,Singleplayer,Cold War,First-Person,War,Military,Online Co-Op,Co-op,Gore,Story Rich,Adventure,Controller,Linear,Masterpiece,Horror,Massively MultiplayerSingle-player,Multi-player,Co-op,Steam Achievements,Partial Controller Support,Valve Anti-Cheat enabled","ActionActivision,ActivisionTreyarchSingle-player,Multi-player,Co-op,Steam Achievements,Partial Controller Support,Valve Anti-Cheat enabled"
Grand Theft Auto IV,"Rockstar North,Rockstar Toronto","Rockstar Games,Rockstar Games","Open World,Action,Bowling,Multiplayer,Third Person,Crime,Adventure,Third-Person Shooter,Sandbox,Singleplayer,Moddable,Shooter,Physics,Atmospheric,Funny,Classic,Dark Humor,Co-op,Gore,Satire","Single-player,Multi-player,Partial Controller Support","Action,Adventure",grandtheftautoiv,"Action,AdventureRockstar Games,Rockstar GamesRockstar North,Rockstar Toronto","Action,AdventureOpen World,Action,Bowling,Multiplayer,Third Person,Crime,Adventure,Third-Person Shooter,Sandbox,Singleplayer,Moddable,Shooter,Physics,Atmospheric,Funny,Classic,Dark Humor,Co-op,Gore,SatireRockstar North,Rockstar Toronto","Action,AdventureOpen World,Action,Bowling,Multiplayer,Third Person,Crime,Adventure,Third-Person Shooter,Sandbox,Singleplayer,Moddable,Shooter,Physics,Atmospheric,Funny,Classic,Dark Humor,Co-op,Gore,SatireSingle-player,Multi-player,Partial Controller Support","Action,AdventureRockstar Games,Rockstar GamesRockstar North,Rockstar TorontoSingle-player,Multi-player,Partial Controller Support"
Portal,Valve,"Valve,Valve","Puzzle,First-Person,Singleplayer,Sci-fi,Comedy,Female Protagonist,Funny,Physics,Action,Story Rich,Platformer,Classic,Science,FPS,Atmospheric,Short,Adventure,Masterpiece,Dark Humor,Great Soundtrack","Single-player,Steam Achievements,Captions available,Partial Controller Support,Includes level editor,Includes Source SDK,Commentary available",Action,portal,"ActionValve,ValveValve","ActionPuzzle,First-Person,Singleplayer,Sci-fi,Comedy,Female Protagonist,Funny,Physics,Action,Story Rich,Platformer,Classic,Science,FPS,Atmospheric,Short,Adventure,Masterpiece,Dark Humor,Great SoundtrackValve","ActionPuzzle,First-Person,Singleplayer,Sci-fi,Comedy,Female Protagonist,Funny,Physics,Action,Story Rich,Platformer,Classic,Science,FPS,Atmospheric,Short,Adventure,Masterpiece,Dark Humor,Great SoundtrackSingle-player,Steam Achievements,Captions available,Partial Controller Support,Includes level editor,Includes Source SDK,Commentary available","ActionValve,ValveValveSingle-player,Steam Achievements,Captions available,Partial Controller Support,Includes level editor,Includes Source SDK,Commentary available"
Viscera Cleanup Detail,RuneStorm,"RuneStorm,RuneStorm","Simulation,Gore,First-Person,Multiplayer,Co-op,Physics,Funny,Indie,Sci-fi,Masterpiece,Comedy,Space,Horror,Singleplayer,Walking Simulator,Casual,Blood,Parody,Sandbox,Adventure","Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Indie,Simulation",visceracleanupdetail,"Indie,SimulationRuneStorm,RuneStormRuneStorm","Indie,SimulationSimulation,Gore,First-Person,Multiplayer,Co-op,Physics,Funny,Indie,Sci-fi,Masterpiece,Comedy,Space,Horror,Singleplayer,Walking Simulator,Casual,Blood,Parody,Sandbox,AdventureRuneStorm","Indie,SimulationSimulation,Gore,First-Person,Multiplayer,Co-op,Physics,Funny,Indie,Sci-fi,Masterpiece,Comedy,Space,Horror,Singleplayer,Walking Simulator,Casual,Blood,Parody,Sandbox,AdventureSingle-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor","Indie,SimulationRuneStorm,RuneStormRuneStormSingle-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Includes level editor"
Kingdoms of Amalur: Reckoning™,"Big Huge Games,38 Studios","38 Studios,Electronic Arts,38 Studios,Electronic Arts","RPG,Fantasy,Open World,Singleplayer,Action RPG,Action,Adventure,Third Person,Loot,Story Rich,Magic,Character Customization,Hack and Slash,Exploration,Controller,Sandbox,Atmospheric,Crafting,Female Protagonist,Masterpiece","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Action,RPG",kingdomsofamalurreckoning,"Action,RPG38 Studios,Electronic Arts,38 Studios,Electronic ArtsBig Huge Games,38 Studios","Action,RPGRPG,Fantasy,Open World,Singleplayer,Action RPG,Action,Adventure,Third Person,Loot,Story Rich,Magic,Character Customization,Hack and Slash,Exploration,Controller,Sandbox,Atmospheric,Crafting,Female Protagonist,MasterpieceBig Huge Games,38 Studios","Action,RPGRPG,Fantasy,Open World,Singleplayer,Action RPG,Action,Adventure,Third Person,Loot,Story Rich,Magic,Character Customization,Hack and Slash,Exploration,Controller,Sandbox,Atmospheric,Crafting,Female Protagonist,MasterpieceSingle-player,Steam Achievements,Partial Controller Support,Steam Cloud","Action,RPG38 Studios,Electronic Arts,38 Studios,Electronic ArtsBig Huge Games,38 StudiosSingle-player,Steam Achievements,Partial Controller Support,Steam Cloud"
"Warhammer 40,000: Dawn of War II: Retribution","Relic Entertainment,Feral Interactive (Mac/Linux)","SEGA,Feral Interactive (Mac/Linux),SEGA,Feral Interactive (Mac/Linux)","Warhammer 40K,Strategy,RTS,Tactical,Sci-fi,Multiplayer,Games Workshop,Online Co-Op,Co-op,Real-Time,Singleplayer,Futuristic,Gore,RPG,Action,Great Soundtrack,Fantasy,Atmospheric,Masterpiece,Adventure","Single-player,Multi-player,Co-op,Steam Achievements,Steam Cloud,Stats,Steam Leaderboards",Strategy,warhammer40000dawnofwariiretribution,"StrategySEGA,Feral Interactive (Mac/Linux),SEGA,Feral Interactive (Mac/Linux)Relic Entertainment,Feral Interactive (Mac/Linux)","StrategyWarhammer 40K,Strategy,RTS,Tactical,Sci-fi,Multiplayer,Games Workshop,Online Co-Op,Co-op,Real-Time,Singleplayer,Futuristic,Gore,RPG,Action,Great Soundtrack,Fantasy,Atmospheric,Masterpiece,AdventureRelic Entertainment,Feral Interactive (Mac/Linux)","StrategyWarhammer 40K,Strategy,RTS,Tactical,Sci-fi,Multiplayer,Games Workshop,Online Co-Op,Co-op,Real-Time,Singleplayer,Futuristic,Gore,RPG,Action,Great Soundtrack,Fantasy,Atmospheric,Masterpiece,AdventureSingle-player,Multi-player,Co-op,Steam Achievements,Steam Cloud,Stats,Steam Leaderboards","StrategySEGA,Feral Interactive (Mac/Linux),SEGA,Feral Interactive (Mac/Linux)Relic Entertainment,Feral Interactive (Mac/Linux)Single-player,Multi-player,Co-op,Steam Achievements,Steam Cloud,Stats,Steam Leaderboards"
